top_n,rebalance_freq,stop_loss,max_position,sharpe,annual_ret,max_dd,alpha,calmar
8,monthly,0.12,0.12,0.25952397745980377,0.04228663505789054,-0.1931585441976321,0.020239646331667034,0.21892189886017388
8,monthly,0.08,0.15,0.1601669410637352,0.0338972866832179,-0.22786130097723725,0.012003000041722375,0.14876280740346934
8,monthly,0.12,0.15,0.1502891391894466,0.03285988548689933,-0.20690195736859926,0.010612038223449,0.15881863112187736
15,monthly,0.08,0.15,0.03056644575644264,0.022340779598545968,-0.20502535033531888,0.00033287774922756766,0.10896593846065167
15,monthly,0.12,0.15,0.027269557763415667,0.02204309392912318,-0.1900835799510714,-0.0003884275777387841,0.1159652719649034
15,monthly,0.12,0.12,0.023383212344538173,0.021746610827622526,-0.18843951744949092,-0.0006428023929306546,0.11540366499216452
12,monthly,0.12,0.12,0.02037131032879728,0.021665044145574575,-0.20590133180528092,-0.0007161186513300194,0.10522051538395844
8,monthly,0.06,0.15,0.002836836646880664,0.020281769764904478,-0.27624565165023623,-0.00164944504315543,0.07341932702710277
8,monthly,0.06,0.12,-0.02945717205615159,0.017241144411545006,-0.28062421570215135,-0.0045230373765617095,0.06143854845115343
12,monthly,0.08,0.12,-0.03515384680607592,0.01701876481701725,-0.2583729119170473,-0.00503710795459307,0.0658689982499027
15,monthly,0.08,0.12,-0.06101305329004507,0.015478201063756192,-0.22103076659306542,-0.00647757653487439,0.07002736031893744
12,monthly,0.12,0.15,-0.0902306642914174,0.01282107552818812,-0.2179171946658547,-0.009544038222684327,0.058834621135253014
15,monthly,0.06,0.12,-0.09117379059516365,0.012424122798292636,-0.25168794250555804,-0.009583204789327854,0.049363202400454595
12,monthly,0.06,0.15,-0.10763300534674873,0.010252990232318515,-0.2837783690402781,-0.011882952877006369,0.0361302741400756
12,monthly,0.06,0.12,-0.12719480113372977,0.008676738371673487,-0.28609830560024063,-0.013530806148230969,0.03032782170379275
15,monthly,0.06,0.15,-0.1306797172217616,0.008849211512524713,-0.2679896644550667,-0.01304691400036529,0.033020719524909745
8,monthly,0.08,0.12,-0.13979526881057636,0.007767011806996349,-0.2757371211611868,-0.014285030540931602,0.028168176277666247
12,monthly,0.08,0.15,-0.2087903749348263,0.0014505302228187134,-0.27152469348134545,-0.020515534008314944,0.005342166893047376
12,weekly,0.08,0.15,-0.6421776767598235,-0.04731231938825853,-0.32668612143603276,-0.06884135240199243,-0.1448250061101772
8,weekly,0.12,0.15,-0.696274606527707,-0.04440189170550546,-0.3199349445597376,-0.06657337012055647,-0.138784126583581
15,weekly,0.12,0.15,-0.7616762046550177,-0.038564097649644524,-0.2727987833468845,-0.060799035902717916,-0.1413646253032293
12,weekly,0.08,0.12,-0.7852026172371689,-0.04906431185085691,-0.2868115176542822,-0.07102798027749596,-0.17106813709296834
15,weekly,0.08,0.12,-0.8180378639602974,-0.0421599564140015,-0.2568725349814667,-0.06418549088762564,-0.1641279266433496
8,weekly,0.08,0.12,-0.8258944559058078,-0.05361317863144166,-0.29152537576569265,-0.07567733948260215,-0.18390570177478419
8,weekly,0.08,0.15,-0.8359165128120027,-0.0581934855583881,-0.32413591365631594,-0.08004814469048194,-0.1795342116875866
8,weekly,0.06,0.15,-0.8376123981564138,-0.05474736905932187,-0.277602432049699,-0.07614390574957086,-0.19721502024425894
12,weekly,0.06,0.12,-0.8507897474787073,-0.05068082926302686,-0.28709468381008874,-0.07240584283605674,-0.17653001709039629
8,weekly,0.12,0.12,-0.854004850366485,-0.06285392342319429,-0.3159235235147932,-0.08494859662703744,-0.19895297103194065
15,weekly,0.08,0.15,-0.9364478468805651,-0.050170363666856455,-0.2536746257206194,-0.07234861234876491,-0.19777446688690606
12,weekly,0.06,0.15,-0.974623963785236,-0.06672241275930313,-0.3194248740473948,-0.0885106253579656,-0.20888295930981923
15,weekly,0.12,0.12,-0.9904542844974993,-0.06223561159463609,-0.3117048633298396,-0.08438734493192974,-0.19966198515305694
12,weekly,0.12,0.15,-0.9985046581078239,-0.0683940002911757,-0.3194531806052478,-0.09048726175481667,-0.21409710297982013
15,weekly,0.06,0.15,-1.0041336519472186,-0.06839358652448613,-0.30481196816985356,-0.08989558013206521,-0.22437959755817086
12,weekly,0.12,0.12,-1.021418394928041,-0.0712327949997893,-0.3143673361140079,-0.0935475672413768,-0.22659095600360687
8,weekly,0.06,0.12,-1.0926891277671136,-0.07245495865959195,-0.3119233938408426,-0.09401533090769326,-0.23228446574560616
15,weekly,0.06,0.12,-1.212864232207029,-0.08327995885521255,-0.3286050929469634,-0.10500145288802792,-0.25343477899805
